race_id,choice_id,choice_type,official_name,display_name,aliases,ballot_order,party_preference,evidence_locator
court-of-appeals-division-1-district-1-judge-5,david-s-mann,candidate,David S. Mann,David S. Mann,,1,(States No Party Preference),"https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Court of Appeals, Division 1, District 1'; Office='Judge Position 5'; Candidate='David S. Mann'; Ballot Order='1'"
court-of-appeals-division-1-district-1-judge-6,bill-a-bowman,candidate,Bill A. Bowman,Bill A. Bowman,,1,(States No Party Preference),"https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Court of Appeals, Division 1, District 1'; Office='Judge Position 6'; Candidate='Bill A. Bowman'; Ballot Order='1'"
initiative-26-001,yes,ballot_option,Yes,Yes,,1,,https://info.kingcounty.gov/kcelections/Vote/contests/ballotmeasures.aspx?eid=55: Initiative Measure No. IL26-001; response='Yes'
initiative-26-001,no,ballot_option,No,No,,2,,https://info.kingcounty.gov/kcelections/Vote/contests/ballotmeasures.aspx?eid=55: Initiative Measure No. IL26-001; response='No'
initiative-26-638,yes,ballot_option,Yes,Yes,,1,,https://info.kingcounty.gov/kcelections/Vote/contests/ballotmeasures.aspx?eid=55: Initiative Measure No. IL26-638; response='Yes'
initiative-26-638,no,ballot_option,No,No,,2,,https://info.kingcounty.gov/kcelections/Vote/contests/ballotmeasures.aspx?eid=55: Initiative Measure No. IL26-638; response='No'
initiative-26-645,yes,ballot_option,Yes,Yes,,1,,https://info.kingcounty.gov/kcelections/Vote/contests/ballotmeasures.aspx?eid=55: Initiative Measure No. IP26-645; response='Yes'
initiative-26-645,no,ballot_option,No,No,,2,,https://info.kingcounty.gov/kcelections/Vote/contests/ballotmeasures.aspx?eid=55: Initiative Measure No. IP26-645; response='No'
king-county-assessor,rob-foxcurran,candidate,Rob Foxcurran,Rob Foxcurran,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='King County'; Office='Assessor'; Candidate='Rob Foxcurran'; Ballot Order='1'
king-county-assessor,dominique-m-scarimbolo,candidate,Dominique M Scarimbolo,Dominique M Scarimbolo,,2,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='King County'; Office='Assessor'; Candidate='Dominique M Scarimbolo'; Ballot Order='2'
king-county-council-2,rebecca-saldana,candidate,Rebecca Saldaña,Rebecca Saldaña,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='County Council District No. 2'; Office='Metropolitan King County Council District No. 2'; Candidate='Rebecca Saldaña'; Ballot Order='1'
king-county-council-2,toshiko-grace-hasegawa,candidate,Toshiko Grace Hasegawa,Toshiko Grace Hasegawa,,2,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='County Council District No. 2'; Office='Metropolitan King County Council District No. 2'; Candidate='Toshiko Grace Hasegawa'; Ballot Order='2'
king-county-council-4,jorge-l-baron,candidate,Jorge L. Barón,Jorge L. Barón,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='COUNTY COUNCIL DISTRICT NO. 4'; Office='Metropolitan King County Council District No. 4'; Candidate='Jorge L. Barón'; Ballot Order='1'
king-county-council-8,teresa-mosqueda,candidate,Teresa Mosqueda,Teresa Mosqueda,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='County Council District No. 8'; Office='Metropolitan King County Council District No. 8'; Candidate='Teresa Mosqueda'; Ballot Order='1'
king-county-council-8,nick-duda,candidate,Nick Duda,Nick Duda,,2,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='County Council District No. 8'; Office='Metropolitan King County Council District No. 8'; Candidate='Nick Duda'; Ballot Order='2'
king-county-director-of-elections,julie-wise,candidate,Julie Wise,Julie Wise,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='King County'; Office='Director of Elections'; Candidate='Julie Wise'; Ballot Order='1'
king-county-district-court-west-judge-1,bardi-martin,candidate,Bardi Martin,Bardi Martin,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='WEST ELECTORAL DISTRICT'; Office='Judge Position No. 1'; Candidate='Bardi Martin'; Ballot Order='1'
king-county-district-court-west-judge-1,nyjat-rose-akins,candidate,Nyjat Rose-Akins,Nyjat Rose-Akins,,2,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='WEST ELECTORAL DISTRICT'; Office='Judge Position No. 1'; Candidate='Nyjat Rose-Akins'; Ballot Order='2'
king-county-district-court-west-judge-2,kuljinder-k-dhillon,candidate,Kuljinder K. Dhillon,Kuljinder K. Dhillon,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='WEST ELECTORAL DISTRICT'; Office='Judge Position No. 2'; Candidate='Kuljinder K. Dhillon'; Ballot Order='1'
king-county-district-court-west-judge-3,rebecca-robertson,candidate,Rebecca Robertson,Rebecca Robertson,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='WEST ELECTORAL DISTRICT'; Office='Judge Position No. 3'; Candidate='Rebecca Robertson'; Ballot Order='1'
king-county-district-court-west-judge-4,yvonne-chin,candidate,Yvonne Chin,Yvonne Chin,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='WEST ELECTORAL DISTRICT'; Office='Judge Position No. 4'; Candidate='Yvonne Chin'; Ballot Order='1'
king-county-district-court-west-judge-5,kristin-shotwell,candidate,Kristin Shotwell,Kristin Shotwell,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='WEST ELECTORAL DISTRICT'; Office='Judge Position No. 5'; Candidate='Kristin Shotwell'; Ballot Order='1'
king-county-prosecuting-attorney,leesa-manion,candidate,Leesa Manion,Leesa Manion,,1,(States No Party Preference),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='King County'; Office='Prosecuting Attorney'; Candidate='Leesa Manion'; Ballot Order='1'
ld-11-state-representative-1,david-hackney,candidate,David Hackney,David Hackney,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 11'; Office='State Representative Pos. 1'; Candidate='David Hackney'; Ballot Order='1'
ld-11-state-representative-1,ashley-fedan,candidate,Ashley Fedan,Ashley Fedan,,2,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 11'; Office='State Representative Pos. 1'; Candidate='Ashley Fedan'; Ballot Order='2'
ld-11-state-representative-2,steve-bergquist,candidate,Steve Bergquist,Steve Bergquist,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 11'; Office='State Representative Pos. 2'; Candidate='Steve Bergquist'; Ballot Order='1'
ld-32-state-representative-1,keith-scully,candidate,Keith Scully,Keith Scully,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 32'; Office='State Representative Pos. 1'; Candidate='Keith Scully'; Ballot Order='1'
ld-32-state-representative-1,danica-noble,candidate,Danica Noble,Danica Noble,,2,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 32'; Office='State Representative Pos. 1'; Candidate='Danica Noble'; Ballot Order='2'
ld-32-state-representative-2,lauren-davis,candidate,Lauren Davis,Lauren Davis,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 32'; Office='State Representative Pos. 2'; Candidate='Lauren Davis'; Ballot Order='1'
ld-32-state-representative-2,imraan-siddiqi,candidate,Imraan Siddiqi,Imraan Siddiqi,,2,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 32'; Office='State Representative Pos. 2'; Candidate='Imraan Siddiqi'; Ballot Order='2'
ld-32-state-senator,cindy-ryu,candidate,Cindy Ryu,Cindy Ryu,,1,(Prefers Democratic Party),https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?eid=55: Jurisdiction Name='Legislative District 32'; Office='State Senator'; Candidate='Cindy Ryu'; Ballot Order='1'
